analysis_set,min_trades_threshold,magic_prefix,magic_prefix_trades,magic_prefix_pf,magic_prefix_traderate,magic_prefix_weekly_traderate,grp_trades,grp_pf,grp_traderate,grp_weekly_traderate,grp_winrate,grp_net_profit,variable_count,variables,grouping_sampledates
ON,6,116,67,1.1,0.11,0.4,40,1.85,0.06,0.27,65.0,16.52,11,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDC=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,76,1.85,0.12,0.48,64.47,31.85,5,PD_trend=PD_green | above_ONH=true | above_dayHighSoFar=true | dayBrokePDL=false | openGap_info=unknown,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,107,677,0.91,0.81,0.97,39,1.84,0.06,0.28,64.1,15.94,4,PD_trend=PD_green | above_PDO=true | above_dayLowSoFar=true | day_of_week=TUE,2024.01.09 08:04:01; 2024.05.28 15:48:08; 2024.06.11 11:54:45
full,6,101,1097,0.79,0.92,0.99,40,1.84,0.06,0.27,65.0,16.7,4,below_PDC=true | dayBrokePDH=false | dayBrokePDL=false | day_of_week=FRI,2024.01.12 12:49:00; 2024.01.26 08:53:09; 2024.01.26 10:43:32
full,6,116,155,0.98,0.23,0.71,40,1.84,0.06,0.28,65.0,16.26,10,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,107,677,0.91,0.81,0.97,38,1.83,0.06,0.27,63.16,15.65,5,above_ONH=true | above_PDH=true | above_dayHighSoFar=true | dayBrokePDL=false | day_of_week=WED,2024.01.10 20:51:55; 2024.01.24 16:43:08; 2024.02.07 15:29:18
ON,6,107,366,0.9,0.55,0.93,38,1.83,0.07,0.3,65.79,16.02,4,above_PDC=true | above_PDO=true | above_midpoint=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
full,6,110,531,0.69,0.55,0.76,31,1.83,0.05,0.26,64.52,12.62,5,above_PDL=true | below_PDH=true | below_dayHighSoFar=true | day_of_week=THU | levelTag=dailyPivot,2024.01.18 18:04:35; 2024.04.18 15:36:51; 2024.05.09 09:30:20
ON,6,107,366,0.9,0.55,0.93,40,1.83,0.06,0.31,65.0,16.36,7,above_ONL=true | above_PDC=true | above_PDL=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=WED | openGap_info=unknown,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
full,6,111,459,0.77,0.58,0.93,49,1.83,0.08,0.37,65.31,19.9,4,above_PDL=true | below_ONH=true | below_dayHighSoFar=true | day_of_week=WED,2024.01.24 21:18:29; 2024.02.28 10:41:09; 2024.04.03 15:22:42
