magic	combo_position	ref1	ref2	openGap_info	PD_trend	dayBrokePDH	dayBrokePDL	count	winrate	avg_profit
121	price-below	PDH	dayHighSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDH	IBH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDH	RTHH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDH	ONL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDH	ONH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDH	PDC	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDO	midpoint	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDO	dayHighSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
122	price-betweenH-L	ONL	RTHL	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-betweenH-L	ONH	IBL	gapUp_Day	PD_red	false	true	3	0.333	-46.4
122	price-betweenH-L	PDC	dayLowSoFar	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-betweenH-L	PDC	RTHL	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-betweenH-L	PDL	dayLowSoFar	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-betweenH-L	PDL	RTHL	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-below	dayHighSoFar	midpoint	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-below	IBH	midpoint	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-below	RTHH	midpoint	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-below	ONL	midpoint	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-below	ONL	dayHighSoFar	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-below	ONL	IBH	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-below	ONL	RTHH	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-below	ONH	midpoint	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-betweenH-L	ONL	dayLowSoFar	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-betweenH-L	IBH	IBL	gapUp_Day	PD_red	false	true	3	0.333	-46.4
