magic	setup_type	ref1	ref2	openGap_info	PD_trend	dayBrokePDH	dayBrokePDL	count	winrate	avg_profit
122	price-below	PDO	midpoint	""	PD_red	false	""	10	0.3	-56.9
122	price-below	PDC	midpoint	""	PD_red	false	""	10	0.3	-56.9
122	price-below	ONH	midpoint	""	PD_red	false	""	10	0.3	-56.9
122	price-below	dayHighSoFar	midpoint	""	PD_red	false	""	10	0.3	-56.9
122	price-betweenH-L	midpoint	RTHL	""	PD_red	false	""	10	0.3	-56.9
122	price-betweenH-L	midpoint	dayLowSoFar	""	PD_red	false	""	10	0.3	-56.9
122	price-betweenH-L	PDC	PDL	""	PD_red	false	""	10	0.3	-55.57
122	price-below	PDH	midpoint	""	PD_red	false	""	10	0.3	-56.9
122	price-above	ONH	ONL	""	PD_red	""	true	4	0.25	-65.85
122	price-above	ONH	RTHL	""	PD_red	""	true	4	0.25	-65.85
122	price-above	ONH	IBL	""	PD_red	""	true	4	0.25	-65.85
122	price-above	ONH	IBH	""	PD_red	""	true	4	0.25	-65.85
122	price-above	ONH	dayLowSoFar	""	PD_red	""	true	4	0.25	-65.85
122	price-above	ONH	midpoint	""	PD_red	""	true	4	0.25	-65.85
122	price-above	ONL	IBH	""	PD_red	""	true	4	0.25	-65.85
122	price-above	RTHL	IBH	""	PD_red	""	true	4	0.25	-65.85
122	price-above	IBL	IBH	""	PD_red	""	true	4	0.25	-65.85
122	price-above	PDC	IBL	gapUp_Day	PD_red	""	true	4	0.25	-64.41
122	price-above	PDL	IBH	""	PD_red	""	true	4	0.25	-65.85
122	price-above	PDL	ONH	""	PD_red	""	true	4	0.25	-65.85
122	price-betweenH-L	dayHighSoFar	PDO	gapUp_Day	PD_red	""	""	4	0.25	-65.19
122	price-betweenH-L	RTHH	PDO	gapUp_Day	PD_red	""	""	4	0.25	-65.19
122	price-above	PDO	midpoint	gapUp_Day	PD_red	""	""	4	0.25	-65.19
122	price-above	PDO	dayLowSoFar	gapUp_Day	PD_red	""	""	4	0.25	-65.19
122	price-above	PDO	RTHL	gapUp_Day	PD_red	""	""	4	0.25	-65.19
122	price-above	PDO	ONL	gapUp_Day	PD_red	""	""	4	0.25	-65.19
122	price-above	PDO	PDC	gapUp_Day	PD_red	""	""	4	0.25	-65.19
122	price-above	PDO	PDL	gapUp_Day	PD_red	""	""	4	0.25	-65.19
122	price-above	IBH	dayLowSoFar	""	PD_red	""	true	4	0.25	-65.85
122	price-above	IBH	midpoint	""	PD_red	""	true	4	0.25	-65.85
