date,symbol,startTime,endTime,session,magic,priceStart,priceEnd,priceDiff,profit,type,MFE,MAE,MAEfirst15,mfeCandle,maeCandle,close_decision,close_detail,reason,volume,bothComments,level,levelTag,planTradeNumToday,levelTradeNumToday,offset,tp,sl,greenRatio_at_close,avg_profitVelocity_5,secondsGreen,secondsRed,3c_30c_level_breakevenC,gapFillPc_at_tradeOpenTime,openGap_info,PD_trend,dayBrokePDH,dayBrokePDL,referencePointsAbove,referencePointsBelow,levelCats,wCeilingC,dCeilingC,wBounceC,dBounceC
2026.01.15,US500.pro,2026.01.15 16:50:02,2026.01.15 16:56:46,RTH-afterIB,291452404110000909,6994.4,6999.6,5.2,0.94,DEAL_TYPE_BUY,5.2,-2.3,-0.6,7,3,secretTPSL_tp,profit=5.2|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,0.4,4.5,4.5,0.9050,0.150,362,38,9,36.59,gapUp_Day,PD_red,true,false,PDH;ONH;RTHH;RTHL;IBL;IBH;dayHighSoFar,PDO;PDL;PDC;ONL;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,24,4,17,2
2026.01.15,US500.pro,2026.01.15 16:52:47,2026.01.15 16:54:24,RTH-afterIB,101452403110000909,6993.3,6997.8,4.5,0.83,DEAL_TYPE_BUY,4.5,-1.2,-1.2,3,1,secretTPSL_tp,profit=4.5|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,-0.7,4.5,4.5,0.9684,0.706,92,1,6,40.24,gapUp_Day,PD_red,true,false,PDH;ONH;RTHH;IBL;IBH;dayHighSoFar,PDO;PDL;PDC;ONL;RTHL;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,24,4,17,2
2026.01.15,US500.pro,2026.01.15 20:30:46,2026.01.15 20:31:15,RTH-afterIB,111454404110000909,6994.3,6989.8,-4.5,-0.84,DEAL_TYPE_BUY,-0.5,-4.5,-2.7,1,2,secretTPSL_sl,profit=-4.5|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,0.3,4.5,4.5,0.0000,-1.428,0,28,,41.46,gapUp_Day,PD_red,true,false,PDH;ONH;RTHH;IBL;IBH;dayHighSoFar,PDO;PDL;PDC;ONL;RTHL;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,24,4,19,4
2026.01.15,US500.pro,2026.01.15 20:30:46,2026.01.15 20:31:15,RTH-afterIB,291454404220000909,6994.3,6989.8,-4.5,-0.84,DEAL_TYPE_BUY,-0.5,-4.5,-2.7,1,2,secretTPSL_sl,profit=-4.5|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,2,2,0.3,4.5,4.5,0.0000,-1.428,0,28,,41.46,gapUp_Day,PD_red,true,false,PDH;ONH;RTHH;IBL;IBH;dayHighSoFar,PDO;PDL;PDC;ONL;RTHL;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,24,4,19,4
2026.01.16,US500.pro,2026.01.16 17:45:27,2026.01.16 17:54:57,RTH-afterIB,182557811110000909,6993.8,6989.3,4.5,0.83,DEAL_TYPE_SELL,4.5,-1.5,-1.5,10,1,secretTPSL_tp,profit=4.5|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,0.2,4.5,4.5,0.8259,0.078,465,68,12,100.00,gapUp_Day,PD_red,false,false,PDO;PDH;ONH;RTHH;IBH;dayHighSoFar,PDL;PDC;ONL;RTHL;IBL;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,34,8,28,7
2026.01.20,US500.pro,2026.01.20 09:06:25,2026.01.20 09:10:48,ON,101230003110000909,6874.6,6879.1,4.5,0.83,DEAL_TYPE_BUY,4.5,-2.7,-1.0,5,2,secretTPSL_tp,profit=4.5|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6875.0,weeklyDown2,1,1,-0.4,4.5,4.5,0.5820,0.161,149,85,,unknown,unknown,PD_green,false,true,PDO;PDH;PDL;PDC;ONH;dayHighSoFar;midpoint,ONL;dayLowSoFar,weekly,0,0,0,0
2026.01.20,US500.pro,2026.01.20 09:06:25,2026.01.20 09:10:48,ON,131230004110000909,6874.6,6879.1,4.5,0.83,DEAL_TYPE_BUY,4.5,-2.7,-1.0,5,2,secretTPSL_tp,profit=4.5|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6875.0,weeklyDown2,1,1,-0.4,4.5,4.5,0.5820,0.161,149,85,,unknown,unknown,PD_green,false,true,PDO;PDH;PDL;PDC;ONH;dayHighSoFar;midpoint,ONL;dayLowSoFar,weekly,0,0,0,0
2026.01.20,US500.pro,2026.01.20 09:06:25,2026.01.20 09:10:48,ON,191230004110000909,6874.6,6879.1,4.5,0.83,DEAL_TYPE_BUY,4.5,-2.7,-1.0,5,2,secretTPSL_tp,profit=4.5|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6875.0,weeklyDown2,1,1,-0.4,4.5,4.5,0.5820,0.161,149,85,,unknown,unknown,PD_green,false,true,PDO;PDH;PDL;PDC;ONH;dayHighSoFar;midpoint,ONL;dayLowSoFar,weekly,0,0,0,0
2026.01.20,US500.pro,2026.01.20 14:31:17,2026.01.20 14:33:42,ON,171234404110000909,6875.4,6867.6,-7.8,-1.42,DEAL_TYPE_BUY,1.9,-7.8,-1.0,3,3,secretTPSL_sl,profit=-7.8|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6875.0,weeklyDown2,1,1,0.4,4.5,4.5,0.2517,0.011,36,105,,unknown,unknown,PD_green,false,true,PDO;PDH;PDL;PDC;ONH;dayHighSoFar;midpoint,ONL;dayLowSoFar,weekly,4,4,4,4
2026.01.21,US500.pro,2026.01.21 01:47:46,2026.01.21 02:18:18,ON,122320011110000909,6844.1,6848.8,-4.7,-0.87,DEAL_TYPE_SELL,0.6,-4.7,-0.7,10,32,secretTPSL_sl,profit=-4.7|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6845.0,weeklyDown3,1,1,0.9,4.5,4.5,0.1050,-0.018,173,1468,,unknown,unknown,PD_red,false,false,PDO;PDH,PDL;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,weekly_stacked_thursday_wednesday,2,0,0,0
